,sentenca,palavras_chave,resultado
2087,desvulcanizacao de borracha de pneu,borracha cera látex vulcanização,processo água água água
2088,gostaria de informacoes tecnicas sobre o processo de desvulcanizacao de borracha de pneus ou outro elastomero reticulado por ultrassom qual tipo de equipamento requerido gera algum residuo,borracha cera látex vulcanização,processo água água água
2089,aplicacoes e fabricantes de oleo de amendoa doce,óleo extração óleos processo,processo água fabricação água
2090,necessito de indicacoes do uso e fornecedores do oleo de amendoas doce em formulas de cosmeticos,óleo extração óleos processo,processo água água água
2091,amarelamento em borracha,resistência alta material luz,processo água fabricação água
2092,como devemos proceder na formulacao pecas de borracha de cor clara para que elas nao fiquem amareladas com o tempo quando exposta a intemperies qual seria o tempo normal esperado para que a peca comece a amarelar amarelamento com dois meses de exposicao e normal e possivel exemplificar com borrachas em epdm sbr nbr cr nr,resistência alta material luz,processo água fabricação água
2093,obtencao do oleo de cartamo,óleo extração óleos processo,processo água água água
2094,gostaria de obter informacoes sobre o oleo de cartamo composicao uso e metodos de extracao,óleo extração óleos processo,processo água água água
2095,tipos de fios cirurgicos,resistência alta material luz,processo água água água
2096,quais os tipos de fios de sutura usados e qual a diferenca entre eles,resistência alta material luz,processo água água água
2097,e possivel atraves de adicao de enzima aumentar a percentagem de proteina do milho para uso em racao animal,soja milho alimentos proteína,processo água fabricação água
2098,calculo de giros e quantidade de formas para montagem de calcados,motor cálculo carga velocidade,processo água fabricação água
2099,como e feito o calculo do giro de formas para producao em montagem de calcados,motor cálculo carga velocidade,processo água fabricação água
2100,anodizacao de aluminio,alumínio ferro cobre cálcio,processo água fabricação água
2101,preciso utilizar aluminio anodizado na producao de luminarias com led para aumentar a dissipacao de calor gostaria de saber como fazer este processo,alumínio ferro cobre cálcio,processo água água água
2102,falsa casquinha de siri,tipo italiano casquinha siri,processo água água água
2103,e possivel produzir casquinha de siri congelada utilizando outros ingredientes ao inves da carne de siri,tipo italiano casquinha siri,processo água fabricação água
2104,destinacao de cavacos originados a partir da usinagem do nylon,processo peça metal fundição,processo água água água
2105,gostaria de saber qual a destinacao possivel para sobras da usinagem de nylon,processo peça metal fundição,processo água água água
2106,tratamento de agua com utilizacao de lampadas de led,resistência alta material luz,processo água água água
2107,informacoes sobre a influencia da luz e das cores de lampadas de led no tratamento de agua,resistência alta material luz,processo água água água
2108,marmore sintetico para pias,cor piso cores pedra,processo água água água
2109,gostaria de informacoes atualizadas diversas sobre o marmore sintetico utilizado para a fabricacao de pias de cozinha e tanques de roupa,cor piso cores pedra,processo água água água
2110,desinfeccao de teteiras entre as vacas,sódio água cloro desinfecção,processo água água água
2111,qual a orientacao que se deve seguir sobre desinfeccao de teteiras entre uma vaca e outra,sódio água cloro desinfecção,processo água água água
2112,resistencia a abrasao em compostos de borracha,borracha cera látex vulcanização,processo água água água
2113,formulacao de borracha que atinga abrasao de utilizando negro de fumo borracha natural e se necessario sbr ou solicitacao destinado ao senairs cetepo,borracha cera látex vulcanização,processo água água água
2114,pastilha de metal duro,processo peça metal fundição,processo água água água
2115,gostaria de obter informacoes de como fabricar pastilhas de metal duro,processo peça metal fundição,processo água água água
2116,incubacao de ovos de galinha,criação reprodução manejo animais,processo água água água
2117,gostaria de informacoes tecnicas sobre incubacao de ovos de galinha e a melhor forma de chocar estes ovos,criação reprodução manejo animais,processo água água água
2118,utilizacao de oxido de zinco em cosmeticos,alumínio ferro cobre cálcio,processo água água água
2119,necessito de informacoes sobre oxido de zinco em cosmeticos e tambem de fornecedores desse insumo,alumínio ferro cobre cálcio,processo água água água
2120,uso de led para controle do crescimento de bacterias,resistência alta material luz,processo água água água
2121,gostaria de informacoes sobre o uso de led no controle de crescimento bacteriano,resistência alta material luz,processo água água água
2122,fornecedor de maquinas para purificacao de oleo de cozinha usado,óleo extração óleos processo,processo água água água
2123,gostaria de indicacao de fornecedores de maquinas utilizadas para a purificacao de oleo de cozinha usado,óleo extração óleos processo,processo água água água
2124,pigmento preto em compostos de borracha,borracha cera látex vulcanização,processo água água água
2125,em processos sigma qual composto pode ser utilizado em substituicao do negro de fumo para conferir pigmentacao preta em borracha butilica com sbr de modo a nao apresentar pontos de acumulo de pigmento,borracha cera látex vulcanização,processo água fabricação água
2126,desenvolvimento de processo para producao de tinta offset a partir de oleos residuais,tinta impressão processo papel,processo água água água
2127,gostaria sobre o desenvolvimento de processo para producao de tinta offset a partir de oleos residuais,tinta impressão processo papel,processo água água água
2128,adicao de vitamina c em suco de acerola,frutas polpa suco fruta,processo água fabricação água
2129,e possivel elevar o teor de vitamina c de uma solucao de suco de acerola de para sem o uso do concentrador a vacuo,frutas polpa suco fruta,processo água fabricação água
2130,normativa sobre transporte de carga em automoveis de passeio,motor cálculo carga velocidade,processo água água água
2131,gostaria de saber a cerca de normas portarias e leis sobre o desenvolvimento de um produto acessorio para automoveis com a finalidade de transporte de carga indivisivel na parte traseira de veiculos sendo afixado a um engate universal ja existente isso configura um acessorio de carga como funcionam as normas para produzir esse acessorio e se o acessorio tiver um apoio junto ao chao com uma pequena roda e no caso do apoio possuir duas rodas ligadas por um eixo quais normas regem este tipo de acessorio,motor cálculo carga velocidade,processo água água água
2132,maquinas para fabricacao de produtos hospitalares de tecido de tnt,tecido tnt fabricação nãotecido,processo água água água
2133,gostaria de saber quais sao as maquinas de fabricacao de produtos de tnt,tecido tnt fabricação nãotecido,processo água água água
2134,medidas de formas para calcados femininos no mercado brasileiro,calçado eva fabricação modelagem,processo água água água
2135,quais as medidas utilizadas no mercado brasileiro para o desenvolvimento de formas para calcados femininos,calçado eva fabricação modelagem,processo água água água
2136,medidas de formas para calcados masculinos no mercado brasileiro,calçado eva fabricação modelagem,processo água água água
2137,quais as medidas utilizadas no mercado brasileiro para o desenvolvimento de formas para calcados masculinos,calçado eva fabricação modelagem,processo água água água
2138,controle quimico da brocadofruto na graviola,controle pragas doença praga,processo água fabricação água
2139,gostaria de saber como devo realizar o controle da brocadofruto e da semente da graviola por controle quimico uma vez que ja se faz o ensacamento dos frutos ainda pequenos,controle pragas doença praga,processo água água água
2140,verificacao da estabilidade do enfranque em calcados de salto alto,calçado eva fabricação modelagem,processo água água água
2141,como pode ser verificada a estabilidade do enfranque em calcados femininos de salto alto,calçado eva fabricação modelagem,processo água fabricação água
2142,medidas de formas para calcados infantis no mercado brasileiro,calçado eva fabricação modelagem,processo água água água
2143,quais as medidas utilizadas no mercado brasileiro para o desenvolvimento de formas para calcados infantis,calçado eva fabricação modelagem,processo água água água
2144,construcao com materiais reciclados,reciclagem construção materiais civil,processo água fabricação água
2145,quais materiais podem ser reutilizados em obras na construcao civil,reciclagem construção materiais civil,processo água água água
2146,alinhamento geometrico de maquinasferramenta,fonte corte forma sobre,processo água fabricação água
2147,o que e e como e feito o alinhamento geometrico de maquinasferramenta,fonte corte forma sobre,processo água água água
2148,tijolo de lixo organico,reciclagem construção materiais civil,processo água água água
2149,gostaria de saber sobre o processo de fabricacao de tijolo a partir de lixo organico,reciclagem construção materiais civil,processo água água água
2150,sabiacica triclaria malachitacea,criação reprodução manejo animais,processo água água água
2151,como e feita a reproducao da ave sabiacica em cativeiros,criação reprodução manejo animais,processo água fabricação água
2152,qual e a resistencia a tracao tensao de ruptura do material pet em relacao ao material polipropileno,plástico pet polietileno material,processo água água água
2153,barreiro de agua para uso na irrigacao de salvacao,solo plantio terra irrigação,processo água água água
2154,gostaria de saber como e feito um barreiro de agua para uso na irrigacao de salvacao,solo plantio terra irrigação,processo água água água
2155,oleo de andiroba,óleo extração óleos processo,processo água água água
2156,gostaria de indicacao de fabricantes de oleo de andiroba para formulacao de cosmetico,óleo extração óleos processo,processo água água água
2157,monitorizacao da esterilizacao em autoclaves,câmara esterilização calor fumaça,processo água água água
2158,monitorizacao de autoclaves informacoes e fornecedores de kits ou produto que possa ser usado para fazer controle de esterilizacao,câmara esterilização calor fumaça,processo água água água
2159,malha pv,algodão confecção têxtil fibra,processo água água água
2160,gostaria de saber em relacao ao tecido pv qual a temperatura e o tempo recomendado da prensagem para que o tecido principalmente o branco nao amarele,algodão confecção têxtil fibra,processo água água água
2161,tinta cromada nao spray,processo peça metal fundição,processo água água água
2162,como e o processo de fabricacao e composicao usual de tinta cromada nao spray,processo peça metal fundição,processo água fabricação água
2163,cisterna de ferrocimento,água sistema tanque caixa,processo água fabricação água
2164,quais as etapas para fabricacao de uma cisterna de ferrocimento,água sistema tanque caixa,processo água água água
2165,diferencas entre os tipos de linhaca e suas aplicacoes,farinha pão trigo fermento,processo água água água
2166,gostaria de saber qual a diferenca entre a linhaca marrom e a linhaca dourada e em que tipo de formulacao pode ser utilizada,farinha pão trigo fermento,processo água água água
2167,controle de podridao da raiz de caquizeiro,controle pragas doença praga,processo água fabricação água
2168,como fazer o controle da podridao de raizes em cultivos de caqui,controle pragas doença praga,processo água fabricação água
2169,cera depilatoria hidrossoluvel,borracha cera látex vulcanização,processo água fabricação água
2170,gostaria de saber qual a formula da cera depilatoria hidrossoluvel,borracha cera látex vulcanização,processo água água água
2171,porosidade do concreto refratario em churrasqueiras,areia mistura argila peso,processo água água água
2172,tenho uma empresa de churrasqueiras premoldadas de concreto estou tendo problemas de porosidade excessiva no produto a minha massa e mole e o pessoal vibra a forma bastante para espalhar bem a massa mas mesmo assim a peca ainda sai com buracos utilizo cimento areia e cacos de piso,areia mistura argila peso,processo água água água
2173,metodos utilizados para polir e cortar marmoglass,fonte corte forma sobre,processo água água água
2174,gostaria de obter informacoes de como trabalhar com marmoglass pois nao tenho obtido sucesso no corte quebra muito nem no polimento nao da brilho ficando fosco e escurecido parece que queimado pela lixa de polimento,fonte corte forma sobre,processo água água água
2175,reciclagem de espuma de poliuretano,espuma poliuretano gelo refrigeração,processo água água água
2176,tenho uma microempresa que trabalha com a fabricacao de espumas a base de poliuretano para produtos de refrigeracao e gostaria de saber o que posso fazer com os refugos da producao,espuma poliuretano gelo refrigeração,processo água água água
2177,lista de equipamentos usados para producao de suco concentrado de caju,frutas polpa suco fruta,processo água água água
2178,gostaria de uma lista de equipamentos usados para producao de suco concentrado de caju,frutas polpa suco fruta,processo água água água
2179,maltagem de trigo,açúcar cana fermentação vinho,processo água água água
2180,maltagem de trigo para utilizacao como adjunto na fabricacao de cervejas,açúcar cana fermentação vinho,processo água água água
2181,processo de sublimacao em tecidos dry fit,tinta impressão processo papel,processo água água água
2182,tenho uma pequena confeccao de estamparia gostaria de saber mais sobre os tecidos algodao e dryfit esses tecidos me garantem uma qualidade boa pra sublimacao,tinta impressão processo papel,processo água água água
2183,umidade em embalagens de cafe,plástico pet polietileno material,processo água água água
2184,gostaria de saber qual o efeito do teor de umidade na utilizacao de potes de poliester pet na qualidade do cafe soluvel,plástico pet polietileno material,processo água água água
2185,cargas brancas em compostos de borracha,resistência alta material luz,processo água fabricação água
2186,o que sao cargas brancas utilizadas em borrachas e termoplasticos,resistência alta material luz,processo água água água
2187,melhoria do desempenho mecanico do nylon,resistência alta material luz,processo água água água
2188,como melhorar o desempenho mecanico do nylon,resistência alta material luz,processo água fabricação água
2189,processo de reciclagem de embalagem cartonada tetra pak,reciclagem construção materiais civil,processo água água água
2190,tenho uma grafica que personaliza e fabrica embalagens utilizando como materiaprima aluminio e polietileno das embalagens longa vida tetra pak gostaria de obter informacoes de como reciclar os residuos da fabricacao,reciclagem construção materiais civil,processo água água água
2191,fabricacao e ligas de cabos multiplexados de aluminio,alumínio ferro cobre cálcio,processo água água água
2192,processo de fabricacao de cabos de aluminio multiplexados ligas usadas,alumínio ferro cobre cálcio,processo água água água
2193,placas de mdf,madeira eucalipto fabricação mdf,processo água água água
2194,qual e o processo de fabricacao industrial de placas de mdf,madeira eucalipto fabricação mdf,processo água água água
2195,botijao de gas glp,gás carvão gases combustível,processo água água água
2196,como ocorre o processo de fabricacao de botija de gas,gás carvão gases combustível,processo água fabricação água
2197,gases de defumador,câmara esterilização calor fumaça,processo água água água
2198,gostaria de informacoes a respeito do funcionamento do defumador eletrico quanto a utilizacao da fumaca liquida ou nao quais os impactos ambientais que este tipo de defumador causa,câmara esterilização calor fumaça,processo água água água
2199,residuos de processamento de milho,soja milho alimentos proteína,processo água água água
2200,estamos projetando uma agroindustria de processamento de milho para producao de canjica quirera e fuba nao encontramos informacoes especificas sobre os residuos gerados nesse processo precisamos saber quais sao os residuos quanto de cada residuo e produzido por ciclo produtivo como dimensionar o seu tratamento e quais opcoes tecnicas de tratamento dos mesmos,soja milho alimentos proteína,processo água fabricação água
2201,processo de polimerizacao por adicao e condensacao em polimeros,plástico pet polietileno material,processo água água água
2202,quais as diferencas relevantes entre os processos de polimerizacao por adicao e por condensacao,plástico pet polietileno material,processo água água água
2203,fruticultura organica no rio grande do norte,frutas polpa suco fruta,processo água água água
2204,estou fazendo orcamento de sementes de frutas goiaba vermelha maracuja limao tahiti laranja pera mamao melancia acerola e melao a unica fonte de consulta que foi orientada foi o renasem relatorio nacional de sementes e mudas mas ao telefonar para lista de fornecedores cadastrados no mapa ministerio da agricultura percebi que a maioria deles cadastramse como produtores de sementes de fruticultura mas nem sempre o sao na pratica gostaria de obter informacao sobre os tipos de sementes organicas de maior qualidade e produtividade nas fruticulturas citadas e que tenham procedencia na sua producao e estado produtor ou fornecedor que produz,frutas polpa suco fruta,processo água fabricação água
2205,vidro utilizado em luminarias embutidas,vidro pintura fibra tinta,processo água água água
2206,qual tipo de vidro pode ser usado para fabricacao de diferentes tipos de luminarias,vidro pintura fibra tinta,processo água água água
2207,calibracao de micropipetas,areia mistura argila peso,processo água fabricação água
2208,gostaria de saber qual o metodo mais adequado para a calibracao de micropipetas,areia mistura argila peso,processo água água água
2209,fabricacao de tabua de carne em madeira teca,madeira eucalipto fabricação mdf,processo água água água
2210,a madeira de teca painel de teca pode ser utilizada para a producao de tabuas de carne,madeira eucalipto fabricação mdf,processo água fabricação água
2211,analise de determinacao do acido fosforico,ácido ph solução água,processo água fabricação água
2212,gostaria de metodos de padronizacao do acido fosforico e o procedimento para calcular a concentracao do acido fosforico,ácido ph solução água,processo água água água
2213,colagem de sacolas de papel,papel análise laboratório método,processo água fabricação água
2214,gostaria de saber como devo proceder para montar sacolas de papel quais sao os procedimentos para realizar a colagem dos papeis tempo de secagem e moldes,papel análise laboratório método,processo água água água
2215,processo de extrusao e sopro multicamadas,pvc processo molde injeção,processo água água água
2216,como funciona o processo de extrusao e sopro multicamadas,pvc processo molde injeção,processo água fabricação água
2217,tuimsanto forpus passerinus,criação reprodução manejo animais,processo água água água
2218,como e feito a criacao de tuimsanto em cativeiro,criação reprodução manejo animais,processo água fabricação água
2219,aproveitamento dos residuos do abate do gado bovino,animal animais carne ração,processo água fabricação água
2220,a alguma tecnica ou procedimento para o aproveitamento dos residuossangue e residuos das viscerasdo abatimento do gado bovino principalmente do sangue,animal animais carne ração,processo água fabricação água
2221,fabricacao de sapatilhas de couro sintetico,calçado eva fabricação modelagem,processo água água água
2222,fabricacao de sapatilhas,calçado eva fabricação modelagem,processo água água água
2223,saponificacao do acido graxo do cacau,óleo extração óleos processo,processo água água água
2224,informacao sobre produtos com fabricacao de o acido graxo de cacau,óleo extração óleos processo,processo água água água
2225,manta acustica,processo industrial propriedade patente,processo água água água
2226,estou pesquisando sobre manta acustica utilizada para colocar entre pisos de apartamentos para reduzir o ruido qual a materiaprima utilizada e o processo de fabricacao quais sao os equipamentos utilizados e possiveis fornecedores deste maquinario,processo industrial propriedade patente,processo água fabricação água
2227,acido acetico glacial,ácido ph solução água,processo água fabricação água
2228,qual deve ser a diluicao do acido acetico para que substitua o uso do vinagre na utilizacao em conservas de alimentos,ácido ph solução água,processo água água água
2229,conservacao de batata doce cozida,doce chá açúcar batata,processo água fabricação água
2230,gostaria de saber como conservar batata doce cozida,doce chá açúcar batata,processo água água água
2231,alimentacao de fortalecimento para abelhas,soja milho alimentos proteína,processo água fabricação água
2232,gostaria de obter informacoes sobre a alimentacao das abelhas receitas para postura e fortalecimento do enxame os possiveis meios de alimentalas e como observar a necessidade da alimentacao,soja milho alimentos proteína,processo água água água
2233,martelo,fonte corte forma sobre,processo água água água
2234,como sao fabricados os martelos,fonte corte forma sobre,processo água fabricação água
2235,balanco hidrico na industria do couro,água sistema tanque caixa,processo água água água
2236,o que significa balanco hidrico e quais os passos para realizalo em uma empresa coureira quais etapas do processamento de couros consomem mais recursos hidricos,água sistema tanque caixa,processo água água água
2237,cloreto de potassio na fabricacao de salames,ácido ph solução água,processo água fabricação água
2238,tenho uma fabrica que produz embutidos em geral gostaria de saber se posso substituir o cloreto de sodio por cloreto de potassio na fabricacao de salames e qual o efeito da substituicao,ácido ph solução água,processo água água água
2239,tecnicas de acabamento e polimento em protese dentaria,processo peça metal fundição,processo água água água
2240,gostaria de informacoes de como realizar acabamento e polimento em protese dentaria,processo peça metal fundição,processo água água água
2241,sistema de aeracao em piscicultura,orgânica orgânico matéria compostagem,processo água água água
2242,atualmente qual e sistema de areacao mais eficaz para psicultura intensiva,orgânica orgânico matéria compostagem,processo água fabricação água
2243,residuos do processamento de polpa de frutas,frutas polpa suco fruta,processo água água água
2244,gostaria de saber o que posso fazer com os residuos do processamento de polpa de frutas,frutas polpa suco fruta,processo água água água
2245,suplementacao de animais ovinocultura,animal animais carne ração,processo água água água
2246,qual a quantidade diaria de suplementacao por cabeca de animal na ovinocultura para ganho de peso que deve ser fornecida em um confinamento intensivo de corte,animal animais carne ração,processo água água água
2247,lodo galvanico,processo peça metal fundição,processo água água água
2248,gostaria de saber se posso adicionar lodo galvanico na fabricacao de ceramica vermelha,processo peça metal fundição,processo água água água
2249,acao de um manometro atraves de um embolo,pressão válvula nr cilindro,processo água fabricação água
2250,gostaria de saber como acionar um manometro atraves de um embolo,pressão válvula nr cilindro,processo água água água
2251,raspa de mandioca na alimentacao de animais,animal animais carne ração,processo água água água
2252,gostaria de saber como se faz raspa de mandioca para a alimentacao de animais e qual a composicao quimica da raspa de mandioca,animal animais carne ração,processo água água água
2253,luva de raspa de couro para protecao,segurança proteção trabalho costura,processo água água água
2254,informacoes sobre processo de fabricacao de luvas de raspa de couro usadas como equipamento de protecao individual em seguranca do trabalho,segurança proteção trabalho costura,processo água água água
2255,producao de suco de laranja organica,produção acesso brasil agricultura,processo água água água
2256,obter informacoes sobre a producao de suco integral de laranja organico,produção acesso brasil agricultura,processo água água água
2257,fornecedores de cana de acucar no rio grande do sul,mar rio acesso universidade,processo água água água
2258,gostaria de obter indicacoes de fornecedores de cana de acucar no rio grande do sul preferencialmente o mais proximo possivel em porto alegre e regiao,mar rio acesso universidade,processo água água água
2259,carvao ativado em filtros de agua,gás carvão gases combustível,processo água fabricação água
2260,gostaria de informacoes sobre o uso de carvao ativado em filtros de agua e indicacao de fornecedores do material a granel para fabricacao do filtro,gás carvão gases combustível,processo água água água
2261,purificacao de agua por osmose reversa,resina água troca sintética,processo água água água
2262,gostaria de informacoes detalhadas sobre a purificacao de agua por osmose reversa incluindo os equipamentos utilizados,resina água troca sintética,processo água água água
2263,reciclagem de filtros automotivos,água sistema tanque caixa,processo água água água
2264,prezados srs gostaria de conhecer que equipamentos realizam o processamento e a reciclagem de filtros de oleo filtros de ar e filtros de combustivel de veiculos e caminhoes se possivel gostaria de saber os fabricantes e os custos envolvidos no processo de reciclagem desses filtros,água sistema tanque caixa,processo água água água
2265,producao do vinho jambolao,açúcar cana fermentação vinho,processo água água água
2266,gostaria de saber informacoes sobre o processo de obtencao de vinho de jambolao,açúcar cana fermentação vinho,processo água água água
2267,firewall,empresa plano certificação sistema,processo água água água
2268,quero de ingressar no ramo da seguranca da informacao e gostaria de informacoes sobre a estrutura necessaria para o desenvolvimento e a instalacao de um firewall,empresa plano certificação sistema,processo água água água
2269,argamassa para assentamento de blocos de concreto,cimento argamassa cal construção,processo água fabricação água
2270,argamassa utilizada no assentamento de pisos ceramicos e indicada para utilizacao em assentamento de blocos de concreto estrutural eou vedacao que normas tangem este assunto,cimento argamassa cal construção,processo água fabricação água
2271,tensao superficial em plasticos,resistência alta material luz,processo água água água
2272,como medir a tensao superficial em uma peca plastica injetada em poliamida qual o equipamento utilizado qual a utilidade desta medicao para avaliacao de tratamentos de superficie,resistência alta material luz,processo água fabricação água
2273,biodiesel,vegetal biodiesel produção glicerina,processo água água água
2274,comparacao entre metanol e etanol para producao de biodiesel,vegetal biodiesel produção glicerina,processo água fabricação água
2275,polietileno de ultraalto peso molecular,plástico pet polietileno material,processo água água água
2276,gostaria de informacoes sobre caracteristicas de processamento do polietileno de ultraalto peso molecular peuapm e sobre o efeito autolubrificante que ele possui esta propriedade autolubrificante pode ser obtida por reacao quimica ou por adicao de algum insumo,plástico pet polietileno material,processo água água água
2277,equipamentos utilizados em geotecnia,areia mistura argila peso,processo água fabricação água
2278,gostaria de obter informacao sobre analises de calibracao de paquimetros e micrometros na metrologia,areia mistura argila peso,processo água água água
2279,analise geoquimica,ácido ph solução água,processo água fabricação água
2280,gostaria de obter informacoes sobre analises geoquimicas,ácido ph solução água,processo água água água
2281,tipos de papeis transfer para impressao,tinta impressão processo papel,processo água água água
2282,para transfer de camisetas e objetos quis sao os papeis mais indicados para a impressao posso imprimir em folha papel oficio,tinta impressão processo papel,processo água água água
2283,reducao da aderencia dos filmes de polietileno pe,plástico pet polietileno material,processo água água água
2284,como reduzir a aderencia dos filmes de polietileno pe utilizados na fabricacao de sacolas plasticas,plástico pet polietileno material,processo água fabricação água
2285,pigmentos em polipropileno,resistência alta material luz,processo água água água
2286,como e feita a incorporacao de pigmentos no polipropileno cetepo,resistência alta material luz,processo água fabricação água
2287,leite concentrado,leite queijo fabricação soro,processo água água água
2288,qual a tecnologia empregada para a fabricacao de leite concentrado,leite queijo fabricação soro,processo água água água
2289,prazo de validade de epis,segurança proteção trabalho costura,processo água água água
2290,com relacao a equipamentos de protecao individual solicito sua resposta para as seguintes duvidas tais equipamentos possuem prazo de validade a data de validade do ca pode ser confundida com a data de validade do poroduto se o epi foi fabricado antes da data de validade do ca posso adiquirilo para uso ou esse produto esta impedido de ser comercializado apos a data de validade do ca mesmo que tenha sido fabricado antes dessa data qual o prazo de validade para epis,segurança proteção trabalho costura,processo água fabricação água
2291,conformacao em chapa inox,aço inox inoxidável carbono,processo água fabricação água
2292,conformacao em chapa inox,aço inox inoxidável carbono,processo água fabricação água
2293,empresa de seguranca privada,contato empresa instituição empresas,processo água fabricação água
2294,processo de abertura de empresa de segunraca em evento lugares que realizem curso de seguranca e qual o procedimento documentacao curso e liberacao que quais instituicao para seguranca com porte de armaobrigada,contato empresa instituição empresas,processo água água água
2295,soldagem de componentes eletronicos,soldagem solda arame eletrodo,processo água água água
2296,como posso soldar uma placa e componentes de um computador,soldagem solda arame eletrodo,processo água fabricação água
2297,composto de epdm com elevado alongamento,borracha cera látex vulcanização,processo água fabricação água
2298,como posso atingir um alongamento de em um composto de epdm,borracha cera látex vulcanização,processo água fabricação água
2299,transporte de flores e frutas,embalagem transporte armazenamento papelão,processo água água água
2300,gostaria de informacoes sobre transporte de flores e frutas,embalagem transporte armazenamento papelão,processo água água água
2301,propriedades fisicas mecanicas quimicas e dinamicas dos elastomeros,resistência alta material luz,processo água água água
2302,quais testes em elastomeros sao considerados mecanicos fisicos dinamicos e quimicos quais as caracteristicas de cada um,resistência alta material luz,processo água água água
2303,transporte de produtos perigosos no mercosul,embalagem transporte armazenamento papelão,processo água água água
2304,quais sao as diretrizes para o transporte de produtos perigosos no mercosul,embalagem transporte armazenamento papelão,processo água água água
2305,materiais utilizados para fabricacao de piscinas de fibra de vidro,vidro pintura fibra tinta,processo água água água
2306,que tipos de materiais sao utilizados para fabricacao de piscinas que tem como base a fibra de vidro,vidro pintura fibra tinta,processo água água água
2307,borracha para pneus a partir de polimerizacao por emulsao,borracha cera látex vulcanização,processo água água água
2308,o processo de polimerizacao em emulsao utilizado na fabricacao de borracha para pneus garante quais propriedades ao produto final,borracha cera látex vulcanização,processo água água água
2309,como pode ser avaliado o nivel de condutividade de um polimero a ser utilizado na rede eletrica para isolamento eletrico,energia elétrica corrente elétrico,processo água fabricação água
2310,farelo de trigo,soja milho alimentos proteína,processo água água água
2311,quais sao todas as aplicacoes possiveis para o farelo de trigo alem das mais conhecidas e tradicionais ele pode ser um biocombustivel pode ser usado na industria de moveis,soja milho alimentos proteína,processo água água água
2312,balanceamento de maquinas rotativas com ou planos de correcao,motor cálculo carga velocidade,processo água água água
2313,qual o procedimento para balancear maquinas rotativas,motor cálculo carga velocidade,processo água água água
2314,detectores sensores de gas,gás carvão gases combustível,processo água água água
2315,como pode ser realizada a deteccao de gases,gás carvão gases combustível,processo água fabricação água
2316,tipos de impressora para o miolo de cadernos e agenda,tinta impressão processo papel,processo água água água
2317,quais os tipos de impressora para o miolo de cadernos e agendas,tinta impressão processo papel,processo água água água
2318,producao de hipoclorito de sodio,sódio água cloro desinfecção,processo água água água
2319,gostaria de obter informacoes sobre a obtencao de hipoclorito de sodio com eficiencia superior a,sódio água cloro desinfecção,processo água água água
2320,producao de biodiesel por rota acida,vegetal biodiesel produção glicerina,processo água água água
2321,gostaria de saber o processo de transformacao de acido graxo em biodiesel utilizando rota acida incluindo temperatura a possibilidade de utilizar etanol em substituicao ao metanol e se existe alguma alternativa em relacao ao acido sulfurico,vegetal biodiesel produção glicerina,processo água água água
2322,analise termogravimetrica tga,papel análise laboratório método,processo água fabricação água
2323,gostaria de utilizar tga para analise de qual a massa tipo de atmosfera e temperatura para realizar a analise,papel análise laboratório método,processo água água água
2324,expansao em bloco de polietileno reticulado,plástico pet polietileno material,processo água fabricação água
2325,gostaria de obter informacoes de fornecedores de polietileno reticulado para formulacao de expansao em bloco,plástico pet polietileno material,processo água água água
2326,poliol a partir de garrafas pet,plástico pet polietileno material,processo água água água
2327,gostaria de saber como produzir o poliol a partir de garrafas pet para fabricacao de espumas,plástico pet polietileno material,processo água água água
2328,manta isolante fabricada a partir de embalagens longa vida tetra brik,reciclagem construção materiais civil,processo água água água
2329,gostaria de um manual sobre como fazer manta de isolamento termico com embalagem de tetra pak,reciclagem construção materiais civil,processo água água água
2330,substrato para germinacao de sementes de noni,solo plantio terra irrigação,processo água água água
2331,como fazer um bom substrato para germinacao de sementes mais especificamente sementes de noni morinda citrifolia,solo plantio terra irrigação,processo água fabricação água
2332,alimentacao animal a base de larvas,criação reprodução manejo animais,processo água fabricação água
2333,olagostaria de obter informacao de como fazer o expurgo de larvas de mosca para usalas como alimento fresco ou desidratado para alimentacao de animais seria possivel usar o mesmo metodo usado pra expurgar o conteudo do interior de minhocas conforme ensinam as repostas tecnicas e se se pode usar a mesma tecnica qual seria a idade ideal maxima das larvas a se colocar na em jejum para se evitar o empupamento uma vez que o ciclo de vida e curto e se nao me engano em a dias elas empupamquais cuidados seriam necessarios para que as larvas nao fossem contaminadas e nao viessem a transmitir doencas aos animas que as consumirem,criação reprodução manejo animais,processo água água água
2334,laboratorios de analise fisicoquimica da cachaca,açúcar cana fermentação vinho,processo água água água
2335,preciso fazer analise da cachaca que produzo e gostaria de indicacao de laboratorios que realizem as analises para o cumprimento das exigencias do ministerio da agricultura,açúcar cana fermentação vinho,processo água água água
2336,sistemas eolicos para geracao de energia eletrica,energia elétrica corrente elétrico,processo água água água
2337,necessito de fornecedores de sistemas eolicos de geracao de energia,energia elétrica corrente elétrico,processo água água água
2338,oleo de girassol para produtos cosmeticos,óleo extração óleos processo,processo água água água
2339,busco fornecedores de oleo de girassol para utilizacao na formulacao de cosmeticos,óleo extração óleos processo,processo água água água
2340,extrato seco de propolis,extrato própolis lençol raiz,processo água fabricação água
2341,como fazer extrato seco de propolis para comercializacao e a legislacao vigente,extrato própolis lençol raiz,processo água fabricação água
2342,estabilidade do latex in natura e centrifugado,borracha cera látex vulcanização,processo água fabricação água
